time,position_variance,velocity_variance
0,3.7507811523559553,7.999375078115236
0.02,3.223316400506327,10.996020808634915
0.04,2.9744423241969153,13.986367025546361
0.06,2.8522691395075306,16.965512179856912
0.08,2.7925324980179154,19.927586178397423
0.1,2.7648516680313886,22.866163900651802
0.12,2.7539715467904635,25.774626470523387
0.14,2.751973090137014,28.646432644394174
0.16,2.754667294286726,31.475303640223217
0.18,2.7598127580321785,34.255341181691676
0.2,2.766200413339159,36.98109989215486
0.22,2.773173283855304,39.647630411996644
0.24,2.780371432694647,42.25050396896939
0.26,2.787595573477172,44.78582469141383
0.28,2.7947338370736317,47.25023307938962
0.3,2.8017223386814596,49.64090243175292
0.32,2.808523891112036,51.95552923666994
0.34,2.8151164777416926,54.192318215739064
0.36,2.8214869803700524,56.349962631624386
0.38,2.8276277386930615,58.42762048658376
0.4,2.833534636705693,60.42488728068899
0.42,2.83920601331332,62.34176602946448
0.44,2.84464201864955,64.17863524840355
0.46,2.84984421232462,65.93621559463291
0.48,2.8548152940242684,67.61553581712694
0.5,2.8595589076625636,69.21789861136621
0.52,2.8640794876573725,70.74484690747197
0.54,2.868382130620798,72.19813104745168
0.56,2.872472483652672,73.5796772313438
0.58,2.8763566446318327,74.89155753703832
0.6,2.8800410721144503,76.13596174688946
0.62,2.883532503589478,77.31517114775045
0.64,2.8868378814066,78.43153441096858
0.66,2.889964285952117,79.48744560588898
0.68,2.8929188757499986,80.4853243548226
0.7000000000000001,2.8957088341885955,81.42759809919956
0.72,2.8983413225612082,82.31668641546425
0.74,2.900823439083747,83.15498729470424
0.76,2.903162183526939,83.94486528145113
0.78,2.9053644270795798,84.68864135388664
0.8,2.907436887045593,85.38858441914407
0.8200000000000001,2.909386105971623,86.04690429282572
0.84,2.911218434803129,86.66574603060305
0.86,2.9129400196745596,87.24718548121217
0.88,2.9145567919520654,87.79322593374187
0.9,2.916074461164226,88.30579573733485
0.92,2.9174985104763778,88.78674677784805
0.9400000000000001,2.918834194386349,89.23785370326928
0.96,2.920086538342928,89.66081379745009
0.98,2.921260340012494,90.05724740972754
1,2.9223601719433274,90.42869885605998
1.02,2.923390385400796,90.77663771522847
1.04,2.9243551151694502,91.10246045132786
1.06,2.9252582851398414,91.40749230109651
1.08,2.9261036145184227,91.69298937154521
1.1,2.92689462451803,91.96014089980034
1.12,2.92763464540419,92.21007163305207
1.1400000000000001,2.9283268237887468,92.4438442919843
1.16,2.928974130077153,92.66246208606535
1.18,2.9295793659891594,92.86687125360666
1.2,2.930145172084754,93.05796360357336
1.22,2.9306740352379546,93.23657903977549
1.24,2.9311682960107186,93.40350805131318
1.26,2.9316301558876954,93.55949415601765
1.28,2.9320616843400327,93.70523628615544
1.3,2.9324648256930086,93.84139110787306
1.32,2.9328414057779413,93.96857526778275
1.34,2.9331931383537637,94.08736756175513
1.36,2.9335216312878973,94.19831102241709
1.3800000000000001,2.933828392489679,94.3019149230781
1.4000000000000001,2.9341148355926823,94.39865669684805
1.42,2.934382285384861,94.48898377058634
1.44,2.9346319829876166,94.57331531405389
1.46,2.934865090786689,94.652043905245307
1.48,2.935082697119218,94.7255371133733
1.5,2.9352858207225223,94.79413900137601
1.52,2.935475414951068,94.85817155013281
1.54,2.9356523717688097,94.9179360068181
1.56,2.9358175255246497,94.97371416000327
1.58,2.9359716565191114,95.02576954424691
1.6,2.9361154943705965,95.07434857699702
1.62,2.936249721189727,95.11968163067606
1.6400000000000001,2.936374974570314,95.16198404283472
1.6600000000000001,2.936491850405466,95.2014570672496
1.68,2.9366009055372535,95.23828876880728
1.7,2.9367026602482036,95.27265486496766
1.72,2.9367976006026977,95.30471951653566
1.74,2.936886180646135,95.33463607039539
1.76,2.936968824469477,95.36254775677814
1.78,2.9370459281465173,95.3885883435454
1.8,2.9371178615509477,95.4128827498752
1.82,2.9371849700600055,95.43554762164277
1.84,2.937247576151192,95.45669187068864
1.86,2.9373059808982718,95.47641718006874
1.8800000000000001,2.9373604653724588,95.49481847728273
1.9000000000000001,2.9374112919544046,95.51198437738046
1.92,2.9374587055623547,95.52799759775027
1.94,2.9375029348015147,95.5429353463013
1.96,2.937544193039442,95.5568696846605
1.98,2.9375826794120035,95.56986786791855
2,2.9376185797641825,95.5819926623742
2.02,2.9376520675297995,95.59330264264582
2.04,2.937683304553961,95.60385246944084
2.06,2.9377124418618417,95.61369314920019
2.08,2.937739620377191,95.62287227676325
2.1,2.937764971593758,95.63143426213165
2.12,2.9377886182026423,95.63942054234602
2.14,2.9378106746783796,95.64686977942866
2.16,2.9378312478264257,95.65381804528747
2.18,2.9378504372945207,95.66029899442152
2.2,2.937868336050273,95.6663440252173
2.22,2.937885030827146,95.6719824305751
2.24,2.9379006025409162,95.67724153855961
2.2600000000000002,2.9379151266785106,95.68214684372474
2.2800000000000002,2.9379286736610357,95.68672212972189
2.3000000000000003,2.937941309182695,95.69098958376226
2.32,2.9379530945271584,95.69496990346758
2.34,2.937964086862883,95.69868239660927
2.36,2.9379743395187607,95.70214507420424
2.38,2.937983902241392,95.70537473740521
2.4,2.9379928214351976,95.70838705859524
2.42,2.938001140386507,95.71119665706968
2.44,2.9380088994726803,95.7138171696637
2.46,2.9380161363572546,95.71626131666044
2.48,2.9380228861720443,95.71854096329282
2.5,2.938029181687065,95.72066717713172
2.52,2.938035053469081,95.72265028163372
2.54,2.9380405300295402,95.72449990610433
2.56,2.938045637962606,95.72622503231489
2.58,2.9380504020739355,95.72783403799652
2.6,2.9380548455008304,95.72933473741908
2.62,2.938058989824336,95.73073441924987
