time,measurement_velocity,position_derivative,kalman_velocity
0.0,-32.63386832612696,344.1511108502019,20.21156675764051
0.02,0.0,216.98669487506538,20.51460581350733
0.04,0.0,147.27220647517908,20.8586502001498
0.06,0.0,103.74507823387553,21.200882288747568
0.08,32.63386832612696,83.4892962547288,21.5099674647141
0.1,-37.211747789274696,50.22124059282174,21.808843921538156
0.12,-4.557279780545542,35.24752143906653,21.976889771395392
0.14,4.557279780545542,26.873729451652295,22.069855068496096
0.16,37.211747789274696,29.7639207068201,22.10869187072762
0.18,0.0,21.59898550620767,22.178701493358005
0.2,-18.775225595130607,10.39678946089353,22.172797969964947
0.22,4.661690853956557,8.67646794645438,22.040956217908228
0.24,38.07325278335867,16.71897459779217,21.87817610606286
0.26,-19.21189293266501,6.615216369301535,21.810412047562828
0.28,0.0,4.570051238994566,21.596794100408577
0.3,0.0,3.0621459650543414,21.34224164604738
0.32,-14.1783565181548,-2.041811627017154,21.053238269909933
0.34,14.1783565181548,2.206608626767448,20.669014070633516
0.36,24.070784763664577,8.117984530803213,20.347199869448634
0.38,4.8815724948681805,7.015952326093,20.12472354928346
0.4,-52.475407963182974,-10.078718920723162,19.876691012186907
0.42,72.2317106221837,12.857805369424469,19.289029179922668
0.44,61.56803964878996,26.634432180567913,19.158584624751978
0.46,0.0,19.15556538213501,19.31495742785577
0.48,5.292772048175465,15.188703776577128,19.31152719091591
0.5,-5.292772048175465,9.251125361619117,19.220434102027244
0.52,-10.508922605660942,3.407246625801008,18.994727651055662
0.54,5.241752826802326,3.6546948651484,18.633760046959793
0.56,15.878503267730792,6.898106598523768,18.27953567746251
0.58,26.986326625385715,12.473622234526616,18.00510240733494
0.6,-5.450380021299495,7.201825242240645,17.869294929415272
0.62,10.927711357058811,8.075751451099578,17.602959588539758
0.64,-21.748409247028988,-0.7254232440939035,17.361356110028726
0.66,0.0,-0.864793328425506,16.895992198469525
0.68,-5.370708929701706,-2.515758196684459,16.4328154661739
0.7,5.370708929701706,-0.6025745787649583,15.932428712169944
0.72,0.0,-0.7555616011558186,15.490655190685125
0.74,10.820697889970177,2.2807096837940577,15.051859296065416
0.76,10.927711357058811,4.536084821406661,14.703418292815925
0.78,5.50448305102762,4.611780340602323,14.423396007779795
0.8,11.091232834663245,6.2970328103656215,14.15079269742532
0.82,0.0,4.302933374937368,13.930798129023236
0.84,16.845613000096193,7.758258276379948,13.65905090786792
0.86,5.671715055207827,7.028001516501092,13.491317201846533
0.88,-28.07672373111032,-3.3431732172594764,13.306377542946537
0.9,51.051882547126226,12.178950760026552,12.827034585588422
0.92,-11.545676538281313,5.240540490720491,12.808268997598143
0.94,11.545676538281313,6.922477375062996,12.587969095586102
0.96,11.663651730439994,8.187892260603036,12.422221808312049
0.98,-5.846685490545056,3.9968053453286245,12.297768431084764
1.0,5.846685490545056,4.361269964189063,12.05273408176982
1.02,5.876633080809768,4.640582105973223,11.824775164895682
1.04,0.0,3.129668035769484,11.611049837582446
1.06,23.810657736830976,8.999577603945141,11.357849369186034
1.08,-29.687290817640744,-2.3742582070784835,11.287216206803501
1.1,11.783444436683865,1.4768785414549512,10.876791665140438
1.12,0.0,0.8419090208736435,10.593593054864739
1.14,0.0,0.3848660723665631,10.299018590611725
1.16,-11.783444436683865,-3.3942548400055728,9.99879721910586
1.18,0.0,-2.689667264708717,9.592294257367318
1.2,35.71717009183857,8.299812818879104,9.218715159595499
1.22,62.06538482165804,24.03945484127874,9.190709101623732
1.24,-12.676162613785635,13.598613326213282,9.644109149028857
